lat_rx_gaia_deg,lon_rx_gaia_deg,alt_rx_gaia_m,time,
37.417786,-122.175187,52.9,2025-11-10T00:24:57Z,12.080914
37.41782,-122.175373,53.1,2025-11-10T00:24:59Z,34.843896
37.417836,-122.175194,53.2,2025-11-10T00:25:01Z,34.843896
37.417645,-122.175344,53.9,2025-11-10T00:25:17Z,9.070989
37.417554,-122.175378,53.3,2025-11-10T00:25:18Z,4.123445
37.417542,-122.175474,52,2025-11-10T00:25:21Z,
37.417523,-122.175526,53.5,2025-11-10T00:25:23Z,6.406215
37.417553,-122.175569,54.6,2025-11-10T00:25:25Z,9.336486
37.417587,-122.175571,55.9,2025-11-10T00:25:26Z,8.763006
37.417558,-122.175626,54.8,2025-11-10T00:25:27Z,8.316967
37.417605,-122.175664,55,2025-11-10T00:25:28Z,8.041327
37.41761,-122.175701,54,2025-11-10T00:25:29Z,
37.417597,-122.175804,55.6,2025-11-10T00:25:32Z,9.65463
37.417547,-122.175848,56.1,2025-11-10T00:25:33Z,9.327565
37.417527,-122.175915,56,2025-11-10T00:25:35Z,
37.417429,-122.175964,56.6,2025-11-10T00:25:38Z,9.017402
37.417303,-122.175929,57,2025-11-10T00:25:41Z,8.379416
37.417252,-122.175946,56,2025-11-10T00:25:42Z,
37.417219,-122.175946,55,2025-11-10T00:25:44Z,
37.417163,-122.176001,54,2025-11-10T00:25:48Z,
37.41713,-122.176,54,2025-11-10T00:25:50Z,
37.417089,-122.176061,57,2025-11-10T00:25:54Z,5.805893
37.417059,-122.176067,56,2025-11-10T00:25:55Z,
37.417023,-122.176094,54,2025-11-10T00:25:58Z,
37.416991,-122.176143,57.6,2025-11-10T00:26:01Z,5.03391
37.41696,-122.176158,57,2025-11-10T00:26:03Z,
37.416907,-122.176218,56,2025-11-10T00:26:07Z,
37.416872,-122.176349,56,2025-11-10T00:26:13Z,
37.416854,-122.1765,56,2025-11-10T00:26:21Z,
37.416795,-122.176745,58,2025-11-10T00:26:33Z,
37.416802,-122.176781,58,2025-11-10T00:26:35Z,
37.416784,-122.176818,58,2025-11-10T00:26:37Z,
37.416801,-122.177,60,2025-11-10T00:26:46Z,
37.416775,-122.177114,61,2025-11-10T00:26:53Z,
37.41677,-122.177229,61,2025-11-10T00:26:59Z,
37.416751,-122.177265,62,2025-11-10T00:27:01Z,
37.416752,-122.177376,62,2025-11-10T00:27:07Z,
37.416686,-122.177595,64,2025-11-10T00:27:19Z,
37.416695,-122.177819,64,2025-11-10T00:27:31Z,
37.41668,-122.177922,66,2025-11-10T00:27:37Z,
37.416606,-122.17812,70,2025-11-10T00:27:48Z,
37.416547,-122.178338,70,2025-11-10T00:28:01Z,
37.416479,-122.178471,70,2025-11-10T00:28:09Z,
37.416437,-122.178668,72,2025-11-10T00:28:21Z,
37.416404,-122.178761,71,2025-11-10T00:28:26Z,
37.416442,-122.178874,72,2025-11-10T00:28:33Z,
37.416428,-122.178912,72,2025-11-10T00:28:35Z,
37.416481,-122.179133,74,2025-11-10T00:28:47Z,
37.416495,-122.17917,75,2025-11-10T00:28:49Z,
37.41655,-122.179218,76,2025-11-10T00:28:53Z,
37.416563,-122.179248,76,2025-11-10T00:28:55Z,
37.416564,-122.179328,77,2025-11-10T00:29:00Z,
37.416586,-122.179421,78,2025-11-10T00:29:06Z,
37.416669,-122.179569,80,2025-11-10T00:29:17Z,
37.416677,-122.179609,80.5,2025-11-10T00:29:20Z,3.523371
37.416719,-122.179692,81,2025-11-10T00:29:26Z,
37.416754,-122.17979,82,2025-11-10T00:29:32Z,
37.416759,-122.179923,84,2025-11-10T00:29:41Z,
37.416739,-122.180019,84,2025-11-10T00:29:47Z,
37.4167,-122.180088,85,2025-11-10T00:29:53Z,
37.416638,-122.180142,87,2025-11-10T00:29:58Z,
37.416526,-122.180166,88,2025-11-10T00:30:06Z,
37.416453,-122.180172,87,2025-11-10T00:30:12Z,
37.416415,-122.180188,88,2025-11-10T00:30:15Z,
37.416301,-122.180181,90,2025-11-10T00:30:24Z,
37.416106,-122.180198,90,2025-11-10T00:30:39Z,
37.415995,-122.180249,92,2025-11-10T00:30:48Z,
37.415889,-122.180332,92,2025-11-10T00:30:56Z,
37.41572,-122.18049,92,2025-11-10T00:31:11Z,
37.41566,-122.180568,92,2025-11-10T00:31:17Z,
37.415631,-122.180591,93,2025-11-10T00:31:19Z,
37.415594,-122.180648,94,2025-11-10T00:31:23Z,
37.415564,-122.180662,94,2025-11-10T00:31:25Z,
37.415535,-122.180732,94,2025-11-10T00:31:29Z,
37.415415,-122.180847,94,2025-11-10T00:31:39Z,
37.415396,-122.180878,94,2025-11-10T00:31:41Z,
37.415387,-122.180918,94,2025-11-10T00:31:43Z,
37.415346,-122.180965,94,2025-11-10T00:31:47Z,
37.415296,-122.181073,95,2025-11-10T00:31:54Z,
37.415256,-122.181135,96,2025-11-10T00:31:58Z,
37.415218,-122.181237,96,2025-11-10T00:32:04Z,
37.415164,-122.181412,98,2025-11-10T00:32:15Z,
37.415168,-122.181544,100,2025-11-10T00:32:23Z,
37.415144,-122.181642,99,2025-11-10T00:32:29Z,
37.415153,-122.181685,102,2025-11-10T00:32:32Z,
37.415131,-122.181726,102,2025-11-10T00:32:35Z,
37.415094,-122.181753,102,2025-11-10T00:32:36Z,
37.415081,-122.181803,103,2025-11-10T00:32:39Z,3.210833
37.414989,-122.181986,103,2025-11-10T00:32:51Z,
37.414929,-122.182155,104,2025-11-10T00:33:02Z,
37.414932,-122.18219,104,2025-11-10T00:33:04Z,
37.414888,-122.18228,106,2025-11-10T00:33:10Z,
37.414822,-122.182554,108,2025-11-10T00:33:27Z,
37.414806,-122.18278,110,2025-11-10T00:33:41Z,
37.414814,-122.183043,113,2025-11-10T00:33:57Z,
37.414792,-122.18314,112,2025-11-10T00:34:03Z,
37.414784,-122.183276,114,2025-11-10T00:34:11Z,
37.414762,-122.183368,114,2025-11-10T00:34:16Z,
37.414763,-122.183424,115.9,2025-11-10T00:34:20Z,2.942778
37.414725,-122.18359,116,2025-11-10T00:34:31Z,
37.414723,-122.183655,116,2025-11-10T00:34:35Z,
37.414665,-122.18377,116,2025-11-10T00:34:43Z,
37.414616,-122.18381,116,2025-11-10T00:34:47Z,
37.41456,-122.183834,116,2025-11-10T00:34:51Z,
37.414466,-122.183851,116,2025-11-10T00:34:57Z,
37.414323,-122.183844,118,2025-11-10T00:35:06Z,
37.414199,-122.183794,117,2025-11-10T00:35:16Z,
37.414168,-122.18377,118,2025-11-10T00:35:19Z,
37.41406,-122.18373,117,2025-11-10T00:35:28Z,
37.413936,-122.183637,118,2025-11-10T00:35:38Z,
37.413803,-122.183514,120,2025-11-10T00:35:50Z,
37.413739,-122.183427,122,2025-11-10T00:35:57Z,
37.413691,-122.183382,123.3,2025-11-10T00:36:02Z,2.943594
37.413568,-122.183194,124,2025-11-10T00:36:16Z,
37.41344,-122.18291,126,2025-11-10T00:36:35Z,
37.413402,-122.182717,126,2025-11-10T00:36:46Z,
37.4133,-122.182353,128,2025-11-10T00:37:09Z,
37.413281,-122.182325,126,2025-11-10T00:37:11Z,
37.413268,-122.182257,128,2025-11-10T00:37:15Z,
37.413066,-122.181783,130,2025-11-10T00:37:45Z,
37.41303,-122.18173,130,2025-11-10T00:37:49Z,
37.412945,-122.18156,130,2025-11-10T00:38:01Z,
37.412812,-122.181353,132,2025-11-10T00:38:16Z,
37.412709,-122.181234,132,2025-11-10T00:38:26Z,
37.412654,-122.181199,131,2025-11-10T00:38:31Z,
37.412549,-122.181076,132,2025-11-10T00:38:41Z,
37.412483,-122.181036,132,2025-11-10T00:38:47Z,
37.412446,-122.180965,133,2025-11-10T00:38:51Z,
37.41239,-122.181024,132,2025-11-10T00:38:53Z,
37.412375,-122.180971,132,2025-11-10T00:38:55Z,
37.412343,-122.180968,132,2025-11-10T00:38:57Z,
37.412279,-122.180845,132,2025-11-10T00:39:05Z,
37.412118,-122.180751,133,2025-11-10T00:39:16Z,
37.41183,-122.180543,133,2025-11-10T00:39:40Z,
37.41173,-122.18045,132,2025-11-10T00:39:49Z,
37.411669,-122.180371,132,2025-11-10T00:39:55Z,
37.411519,-122.180238,132,2025-11-10T00:40:07Z,
37.411477,-122.180187,132,2025-11-10T00:40:12Z,
37.411119,-122.179866,132,2025-11-10T00:40:42Z,
37.410982,-122.179674,134,2025-11-10T00:40:56Z,
37.410906,-122.17959,134,2025-11-10T00:41:04Z,
37.410824,-122.179475,134,2025-11-10T00:41:12Z,
37.410731,-122.179376,134,2025-11-10T00:41:20Z,
37.410638,-122.17934,134,2025-11-10T00:41:27Z,
37.410549,-122.179285,135,2025-11-10T00:41:33Z,
37.41039,-122.179246,133,2025-11-10T00:41:45Z,
37.410358,-122.179228,134,2025-11-10T00:41:47Z,
37.410294,-122.179219,132,2025-11-10T00:41:52Z,
37.410222,-122.179182,134,2025-11-10T00:41:57Z,
37.410192,-122.179185,133,2025-11-10T00:41:59Z,
37.410132,-122.179164,134,2025-11-10T00:42:03Z,
37.409966,-122.179057,132,2025-11-10T00:42:15Z,
37.409903,-122.179044,134,2025-11-10T00:42:20Z,
37.409853,-122.179,134,2025-11-10T00:42:24Z,
37.409791,-122.178967,134,2025-11-10T00:42:29Z,
37.409746,-122.178919,134,2025-11-10T00:42:33Z,
37.409712,-122.178908,134,2025-11-10T00:42:35Z,
37.409626,-122.178805,134,2025-11-10T00:42:43Z,
37.409524,-122.17875,136,2025-11-10T00:42:51Z,
37.40948,-122.178694,136,2025-11-10T00:42:55Z,
37.409422,-122.17865,136,2025-11-10T00:42:59Z,
37.409208,-122.178574,136,2025-11-10T00:43:13Z,
37.409106,-122.178549,138,2025-11-10T00:43:19Z,
37.408874,-122.178446,138,2025-11-10T00:43:34Z,
37.408743,-122.17835,138,2025-11-10T00:43:45Z,
37.408692,-122.178293,136,2025-11-10T00:43:49Z,
37.408513,-122.178135,135,2025-11-10T00:44:03Z,
37.408464,-122.178072,134,2025-11-10T00:44:07Z,
37.4084,-122.178028,133,2025-11-10T00:44:11Z,
