lat_rx_gaia_deg,lon_rx_gaia_deg,alt_rx_gaia_m,time
37.4177,-122.174996,51.2,2025-11-11T22:21:02Z,4.748652
37.417671,-122.17501,51.3,2025-11-11T22:21:09Z,4.748652
37.417659,-122.175029,50,2025-11-11T22:21:10Z,
37.417519,-122.175559,51,2025-11-11T22:21:53Z,
37.417458,-122.175697,51,2025-11-11T22:22:04Z,
37.417395,-122.17579,51,2025-11-11T22:22:13Z,
37.417145,-122.175998,56,2025-11-11T22:22:40Z,
37.417076,-122.176077,55,2025-11-11T22:22:50Z,
37.416957,-122.176174,54,2025-11-11T22:23:03Z,
37.416869,-122.176359,54,2025-11-11T22:23:19Z,
37.416764,-122.177449,60,2025-11-11T22:24:40Z,
37.416691,-122.177815,61,2025-11-11T22:25:08Z,
37.416645,-122.177945,64,2025-11-11T22:25:19Z,
37.41661,-122.178115,66,2025-11-11T22:25:33Z,
37.416474,-122.178618,68,2025-11-11T22:26:14Z,
37.416455,-122.178775,71,2025-11-11T22:26:26Z,
37.416485,-122.179063,72,2025-11-11T22:26:49Z,
37.416587,-122.179371,76,2025-11-11T22:27:24Z,
37.416671,-122.179524,75,2025-11-11T22:27:43Z,
37.416777,-122.179788,80,2025-11-11T22:28:13Z,
37.416791,-122.179855,80,2025-11-11T22:28:21Z,
37.416775,-122.180007,80,2025-11-11T22:28:36Z,
37.416759,-122.180041,84,2025-11-11T22:28:40Z,
37.416679,-122.180121,84,2025-11-11T22:28:52Z,
37.416618,-122.180149,84,2025-11-11T22:28:58Z,
37.416415,-122.180175,87,2025-11-11T22:29:19Z,
37.416316,-122.180172,88,2025-11-11T22:29:30Z,
37.416099,-122.180211,90,2025-11-11T22:29:54Z,
37.415967,-122.180262,88,2025-11-11T22:30:09Z,
37.415902,-122.180307,90,2025-11-11T22:30:16Z,
37.415762,-122.180452,90,2025-11-11T22:30:35Z,
37.41557,-122.180685,91,2025-11-11T22:31:02Z,
37.415468,-122.180788,91,2025-11-11T22:31:16Z,
37.415315,-122.181041,93,2025-11-11T22:31:41Z,
37.415217,-122.181328,96,2025-11-11T22:32:06Z,
37.415196,-122.181404,96,2025-11-11T22:32:13Z,
37.41519,-122.181476,97,2025-11-11T22:32:18Z,
37.415159,-122.181534,98,2025-11-11T22:32:23Z,
