lat_rx_gaia_deg,lon_rx_gaia_deg,alt_rx_gaia_m,time,
37.417688,-122.175017,49.5,2025-11-06T21:39:52Z,5.575641
37.41764,-122.175053,48,2025-11-06T21:40:00Z,
37.41762,-122.175091,49.3,2025-11-06T21:40:03Z,5.033268
37.417595,-122.175225,51,2025-11-06T21:40:11Z,
37.417592,-122.175332,52,2025-11-06T21:40:18Z,
37.417575,-122.175359,52,2025-11-06T21:40:20Z,
37.417541,-122.175337,51,2025-11-06T21:40:22Z,
37.417479,-122.175348,53.3,2025-11-06T21:40:24Z,4.284542
37.417504,-122.175318,53,2025-11-06T21:40:26Z,
37.417576,-122.175322,54.3,2025-11-06T21:40:27Z,5.076076
37.417538,-122.175418,54,2025-11-06T21:40:29Z,
37.417548,-122.175538,54,2025-11-06T21:40:33Z,
37.417526,-122.175572,55,2025-11-06T21:40:35Z,
37.417536,-122.17561,54,2025-11-06T21:40:37Z,
37.41752,-122.175575,53.9,2025-11-06T21:40:39Z,9.131328
37.417469,-122.175534,53,2025-11-06T21:40:41Z,
37.417466,-122.175581,54,2025-11-06T21:40:44Z,
37.417425,-122.175672,54,2025-11-06T21:40:52Z,
37.417354,-122.175761,54,2025-11-06T21:40:56Z,
37.417389,-122.175729,56,2025-11-06T21:41:01Z,
37.41732,-122.175826,56,2025-11-06T21:41:06Z,
37.417276,-122.17585,55.9,2025-11-06T21:41:07Z,7.835864
37.417237,-122.175888,55,2025-11-06T21:41:09Z,
37.417166,-122.175985,56,2025-11-06T21:41:14Z,
37.417087,-122.176069,57,2025-11-06T21:41:20Z,
37.416962,-122.176136,56,2025-11-06T21:41:31Z,
37.41691,-122.176176,54,2025-11-06T21:41:37Z,
37.416869,-122.176332,55,2025-11-06T21:41:47Z,
37.416873,-122.176383,56.5,2025-11-06T21:41:51Z,3.19914
37.416846,-122.176435,56,2025-11-06T21:41:54Z,
37.416835,-122.176573,56,2025-11-06T21:42:03Z,
37.416826,-122.176606,57,2025-11-06T21:42:05Z,
37.416798,-122.176573,59.5,2025-11-06T21:42:07Z,3.261386
37.416787,-122.176631,59,2025-11-06T21:42:09Z,
37.416798,-122.176722,59,2025-11-06T21:42:13Z,
37.416779,-122.176846,60,2025-11-06T21:42:21Z,
37.416786,-122.176926,60,2025-11-06T21:42:26Z,
37.416781,-122.177093,60,2025-11-06T21:42:36Z,
37.416756,-122.177355,62,2025-11-06T21:42:54Z,
